#name,ra,dec,usrid,separation,probability,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w
 2CXO J161436.5-223031, 16 14 36.51,-22 30 31.06,     59,     0.26,     0.06,     0.72,     0.71,    169.0,     9.04,                TRUE,FALSE,FALSE,FALSE,2.187e-14,1.943e-14,2.430e-14,         ,         ,         
 2CXO J165839.3-532406, 16 58 39.35,-53 24 06.95,     62,     0.19,     0.09,     1.05,     1.05,      0.0,     4.26,                TRUE,FALSE,FALSE,FALSE,1.138e-14,8.489e-15,1.427e-14,         ,         ,         
 2CXO J170252.4-412848, 17 02 52.49,-41 28 48.25,     63,     0.28,     0.07,     0.80,     0.77,    170.9,     2.61,                TRUE,FALSE,FALSE,FALSE,6.868e-15,3.815e-15,9.768e-15,         ,         ,         
 2CXO J171813.6-382517, 17 18 13.60,-38 25 17.96,     66,     0.57,     0.06,     0.72,     0.72,     80.1,    15.54,                TRUE,FALSE,FALSE,FALSE,7.847e-14,7.327e-14,8.337e-14,         ,         ,         
 2CXO J174429.4-113454, 17 44 29.40,-11 34 54.92,     71,     0.09,     0.06,     0.71,     0.71,     87.6,    14.80,                TRUE,FALSE,FALSE,FALSE,1.944e-14,1.813e-14,2.074e-14,         ,         ,         
 2CXO J181037.3+174437, 18 10 37.31,+17 44 37.37,     78,     0.24,     0.06,     0.75,     0.73,     10.9,     6.27,                TRUE,FALSE,FALSE,FALSE,1.835e-14,1.539e-14,2.130e-14,         ,         ,         
 2CXO J181323.7-124600, 18 13 23.77,-12 46 00.30,     79,     0.72,     0.06,     0.71,     0.71,      1.9,    33.38,                TRUE,FALSE,FALSE,FALSE,5.424e-13,5.262e-13,5.586e-13,         ,         ,         
 2CXO J182608.5-125634, 18 26 08.54,-12 56 34.58,     81,     0.61,     0.06,     0.72,     0.72,      0.0,    12.96,                TRUE, TRUE,FALSE,FALSE,6.409e-14,5.916e-14,6.902e-14,         ,         ,         
 2CXO J183333.5-103407, 18 33 33.57,-10 34 07.90,     82,     0.25,     0.06,     0.71,     0.71,      0.0,   121.78,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,1.019e-12,9.939e-13,1.044e-12
 2CXO J183613.7+592530, 18 36 13.70,+59 25 30.08,     84,     0.44,     0.06,     0.71,     0.71,      2.4,    10.02,                TRUE,FALSE,FALSE,FALSE,2.568e-14,2.303e-14,2.833e-14,         ,         ,         
 2CXO J193938.5+213459, 19 39 38.56,+21 34 59.39,     90,     0.26,     0.06,     0.71,     0.71,     82.9,    20.56,                TRUE,FALSE,FALSE,FALSE,1.831e-13,1.740e-13,1.917e-13,         ,         ,         
 2CXO J195936.7+204814, 19 59 36.75,+20 48 14.86,     95,     0.29,     0.06,     0.71,     0.71,      0.0,    34.31,                TRUE,FALSE,FALSE,FALSE,5.019e-14,4.851e-14,5.187e-14,         ,         ,         
 2CXO J201722.6+060305, 20 17 22.69,+06 03 05.35,     96,     0.27,     0.06,     0.77,     0.76,     31.6,     3.82,                TRUE,FALSE,FALSE,FALSE,1.013e-14,7.353e-15,1.275e-14,         ,         ,         
 2CXO J202819.8+333204, 20 28 19.88,+33 32 04.02,     99,     0.21,     0.07,     0.80,     0.76,     47.5,     2.97,                TRUE,FALSE,FALSE,FALSE,4.986e-15,3.226e-15,6.648e-15,         ,         ,         
 2CXO J203213.1+412724, 20 32 13.14,+41 27 24.27,    102,     0.45,     0.06,     0.72,     0.72,     43.8,     8.11,                TRUE, TRUE,FALSE,FALSE,6.448e-14,5.778e-14,7.118e-14,         ,         ,         
 2CXO J204320.8+171129, 20 43 20.86,+17 11 29.22,    103,     0.33,     0.06,     0.78,     0.77,     22.8,     2.80,                TRUE,FALSE,FALSE,FALSE,7.960e-15,4.995e-15,1.077e-14,         ,         ,         
 2CXO J204710.2+105307, 20 47 10.25,+10 53 07.82,    105,     0.29,     0.06,     0.77,     0.75,    138.9,     3.75,                TRUE,FALSE,FALSE,FALSE,6.510e-15,4.745e-15,8.275e-15,         ,         ,         
 2CXO J205107.5-082737, 20 51 07.51,-08 27 37.76,    106,     0.05,     0.06,     0.72,     0.72,     35.2,     5.69,                TRUE,FALSE,FALSE,FALSE,2.793e-15,2.043e-15,3.502e-15,         ,         ,         
 2CXO J212443.8-335844, 21 24 43.85,-33 58 44.74,    109,     0.02,     0.06,     0.71,     0.71,     90.0,    17.47,                TRUE,FALSE,FALSE,FALSE,6.683e-14,6.303e-14,7.042e-14,         ,         ,         
 2CXO J213955.9+471613, 21 39 56.00,+47 16 13.43,    110,     0.85,     0.06,     0.75,     0.74,     39.6,     3.20,                TRUE,FALSE,FALSE,FALSE,7.435e-15,5.045e-15,9.825e-15,         ,         ,         
 2CXO J221438.8+300038, 22 14 38.85,+30 00 38.13,    111,     0.03,     0.06,     0.72,     0.72,    105.1,     7.83,                TRUE,FALSE,FALSE,FALSE,4.468e-14,3.892e-14,5.044e-14,         ,         ,         
 2CXO J221532.7+513536, 22 15 32.71,+51 35 36.58,    112,     0.39,     0.06,     0.71,     0.71,    111.2,    10.37,                TRUE,FALSE,FALSE,FALSE,8.314e-14,7.481e-14,9.148e-14,         ,         ,         
 2CXO J224142.0-523636, 22 41 42.01,-52 36 36.22,    116,     0.21,     0.06,     0.73,     0.72,     32.3,     8.23,                TRUE,FALSE,FALSE,FALSE,4.501e-14,3.905e-14,5.061e-14,         ,         ,         
