index,obs_id,class,src_n,src_id,livetime,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,gti_obs,flux_significance_b,flux_significance_m,flux_significance_s,flux_significance_h,flux_significance_u,flux_aper_hilim_s,flux_aper_hilim_u,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_lolim_u,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_b,flux_aper_s,flux_aper_u,flux_aper_m,flux_aper_h,flux_aper_b,photflux_aper_hilim_s,photflux_aper_hilim_u,photflux_aper_hilim_m,photflux_aper_hilim_h,photflux_aper_hilim_b,photflux_aper_lolim_s,photflux_aper_lolim_u,photflux_aper_lolim_m,photflux_aper_lolim_h,photflux_aper_lolim_b,photflux_aper_s,photflux_aper_u,photflux_aper_m,photflux_aper_h,photflux_aper_b,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,flux_powlaw_hilim,flux_powlaw_lolim,flux_powlaw,flux_brems_lolim,flux_brems_hilim,flux_brems,flux_bb_hilim,flux_bb_lolim,flux_bb,var_index,var_prob,ks_prob,kp_prob,var_sigma,var_mean,var_min,var_max,var_inter_index,var_inter_prob,var_inter_sigma,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_hs,hard_ms,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,powlaw_gamma,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl,powlaw_ampl_hilim,powlaw_ampl_lolim,powlaw_stat,bb_kt,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim,bb_nh,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_stat,brems_kt,brems_kt_hilim,brems_kt_lolim,brems_nh,brems_nh_hilim,brems_nh_lolim,brems_stat
0,TUC_OBS_0,TUC,CXOGLB J002353.9-720350,TC0001,31673.8,29.48,5419.116,False,False,False,2000-03-16T09:06:03,2.91,1.65,2.29,0.0,1.08,-14.864867348623225,-15.200659450546418,-15.096313268263497,-14.965772739229449,-14.578067186721492,-15.290814870449754,,-15.706637445288555,,-14.898940645091885,-15.021956506090037,,-15.302073555193495,,-14.705093089394808,-5.5003129173815966,-4.804377056413063,-5.928117992693875,-6.101713721410877,-5.230770418263406,-5.913996294381618,-6.219250768896448,-6.538501473216981,,-5.544698228342924,-5.654234306885511,-5.088948979671874,-6.133830852366229,,-5.355659901173677,-14.884715747696868,-15.404415605504973,-15.16475346000369,-5.272471755735139,-6.0030507515046185,-5.508391808942788,,,,,,,,,,5.0,0.7975,0.5025,0.827,0.032235,0.009977,0.00046055,0.5144,4.4,0.7458000000000001,6.80184e-06,-0.2311,0.1468,-0.8688,-0.9994,-0.5334,-0.4703,-1.0,-0.243,-0.7651,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TUC_OBS_1,TUC,CXOGLB J002353.9-720350,TC0001,31670.6,29.48,5419.116,False,False,False,2000-03-16T18:59:23,4.26,2.4,3.24,1.65,2.4,-14.42388910587916,-13.599116784451637,-14.763714722551972,-14.579384229374234,-14.176004408844031,-14.701365216875564,-13.989700043360187,-15.154281982033341,-15.21616785661556,-14.386369565074759,-14.540758335121918,-13.746661994673893,-14.911155437272996,-14.790216985151485,-14.268572412949052,-5.2973110318408665,-4.3121144751512945,-5.708409174341999,-5.848017604542526,-4.99097425791309,-5.5747919488613435,-4.702677285794698,-6.099086932262331,-6.458420756053419,-5.198390511972681,-5.4143137215475035,-4.45979570015794,-5.856048883576037,-6.0538426050776275,-5.082284483440507,-14.097311921315079,-14.452326190602014,-14.236048173966676,-4.870509903438812,-5.222297752605841,-5.007955740187294,,,,,,,,,,3.25,0.623,0.745,0.6545,0.0033654749999999997,0.0027085,0.000786975,0.032959749999999996,4.4,0.7458000000000001,6.80184e-06,-0.1924,0.1318,-0.5141,-0.6384,-0.4922,-0.4229,-0.8151,-0.2867,-0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TUC_OBS_2,TUC,CXOGLB J002353.9-720350,TC0001,65237.5,29.48,5419.116,False,False,False,2002-09-29T17:14:19,14.91,6.47,12.72,4.57,7.92,-13.9051796196452,-13.979224511806443,-14.391794992295674,-14.114186625339512,-13.644548479873482,-13.973466735476704,-14.089535684004387,-14.527097348196335,-14.311135431945209,-13.702020755840637,-13.937794191180288,-14.030863766403288,-14.454198242840723,-14.198870812420296,-13.672436739812722,-5.141823862017656,-4.86518562967954,-5.778585762157661,-5.862645888629267,-4.8517059025652545,-5.210278306019078,-4.975514332300833,-5.913640169325252,-6.057148993445662,-4.910094888560602,-5.17470373556904,-4.916855856856948,-5.84103473961659,-5.946537395074545,-4.879755204453635,-13.940474447261309,-14.031675854803122,-13.983351014308997,-5.119632359886307,-5.205669526952074,-5.160383704319706,-13.729088360589518,-13.789949150124864,-13.760200181552902,-13.929962133392245,-13.844056982028164,-13.879097182385474,-13.916497380169732,-14.005770859182302,-13.95624487303132,4.8,0.8316000000000001,0.7556,0.842,0.0007261160000000001,0.00199856,0.00134766,0.00336284,4.4,0.7458000000000001,6.80184e-06,-0.1124,0.0144,-0.2417,-0.7096,-0.6458,-0.6527,-0.7639,-0.5965,-0.6952,2.853,3.0210000000000004,2.694,3.0339999999999997e-06,1.4180000000000001,,5.758e-06,6.147999999999999e-06,5.398e-06,1.131,0.1799,0.1934,0.1673,1.1420000000000001,,1.6769999999999998e-06,0.001685,0.001176,0.002441,3.983,0.6676,0.8101,0.561,2.17e-06,0.7779,,5.962000000000001
3,TUC_OBS_3,TUC,CXOGLB J002353.9-720350,TC0001,59044.6,29.48,5419.116,False,False,False,2002-09-30T13:49:27,13.41,6.16,11.0,4.0,7.42,-13.983384452442822,-13.917573699139227,-14.389020620077003,-14.096042291476829,-13.684029654543082,-14.062582418522862,-14.035646070707806,-14.531209737900388,-14.321572677566133,-13.749579997691106,-14.021180613267157,-13.972650392225244,-14.454321850207974,-14.194363233694064,-13.71556926615548,-5.22047565667521,-4.876475019057268,-5.775208043507319,-5.9344202852715515,-4.915781313260761,-5.29964247217734,-4.993962045002683,-5.917573699139228,-6.15639352807549,-4.980883709552927,-5.258218303856833,-4.931443104927637,-5.8407336689065055,-6.03147035562516,-4.947306058075032,-13.956409826308699,-14.061660434321707,-14.005867692824493,-5.163802519221075,-5.2594383702423375,-5.209136630983601,-13.771599641296996,-13.839831707041489,-13.808269606637143,-13.941573975542994,-13.851705902565254,-13.893809102736585,-13.985479461242075,-14.141643294702227,-14.034187046963396,1.0,0.48,0.6132,0.6963999999999999,0.00010829199999999999,0.0017315199999999998,0.00167052,0.00240988,4.4,0.7458000000000001,6.80184e-06,-0.2086,-0.0718,-0.3492,-0.7108,-0.5871,-0.6452,-0.7726,-0.5253,-0.6452,2.707,2.898,2.5540000000000003,3.0480000000000003e-06,2.5980000000000003,,5.0360000000000006e-06,5.58e-06,4.69e-06,0.963,0.2106,0.2331,0.1913,1.052,,2.8889999999999998e-06,0.0006827000000000001,0.0004284,0.001075,4.074,0.9863,1.195,0.7864,1.099e-06,0.8403,,1.909
4,TUC_OBS_4,TUC,CXOGLB J002353.9-720350,TC0001,65240.7,29.48,5419.116,False,False,False,2002-10-02T19:14:18,13.95,5.98,11.96,4.12,7.26,-14.003532109738282,-13.966174306046689,-14.441891698369451,-14.222283261390373,-13.739928612014925,-14.076548730360349,-14.086557045140605,-14.588548657862063,-14.44057220024051,-13.802995271976954,-14.037393927075874,-14.022139270735302,-14.509058794643213,-14.317854923626168,-13.770318157682324,-5.220692172416414,-4.93704216591549,-5.840132152907433,-5.939302159646388,-4.927015255372069,-5.29362364416031,-5.057297631111332,-5.986741334716483,-6.154343940016456,-4.989700043360188,-5.254534831329273,-4.9931062920521,-5.907279355315901,-6.033717437832537,-4.95703092660682,-14.012888127001384,-14.113261177430367,-14.059931986260647,-5.193806454525607,-5.286981809428202,-5.23764709168051,-13.773400094792642,-13.849857838151442,-13.815876645760328,-13.947306058075032,-13.866780543267506,-13.90239567112559,-13.963770455913705,-14.050805225762018,-14.001304841688345,0.4,0.337,0.75,0.7366,7.437200000000001e-05,0.00167034,0.0015884199999999997,0.0017981400000000002,4.4,0.7458000000000001,6.80184e-06,-0.1412,-0.0031,-0.2804,-0.7146,-0.6346,-0.6527,-0.7739,-0.579,-0.6889,2.517,2.935,2.375,1.407e-05,6.994,,4.819e-06,6.203e-06,4.495e-06,1.655,0.2218,0.2374,0.2078,1.939,,7.965e-06,0.0005479,0.00039989999999999996,0.0007592,3.5260000000000002,1.012,1.248,0.8535,2.234e-07,1.329,,3.0189999999999997
5,TUC_OBS_5,TUC,CXOGLB J002353.9-720350,TC0001,68771.4,29.48,5419.116,False,False,False,2002-10-11T01:59:30,13.68,6.53,11.27,3.47,8.21,-14.036826283624748,-13.922268820347607,-14.406713932979542,-14.309095445945033,-13.779107750780481,-14.114130139096094,-14.028584976615004,-14.540758335121918,-14.582030357785262,-13.843450848668219,-14.073760478954139,-13.972242795309446,-14.468521082957745,-14.4207882197685,-13.810229043653127,-5.266481748565512,-4.874193541860473,-5.794795636051855,-6.1136785134405205,-4.966978555317089,-5.34371009880864,-4.980468315468745,-5.928854709548917,-6.37120251443329,-5.030490901403433,-5.303381540767775,-4.924088238517222,-5.856672870007953,-6.223589411192657,-4.997402019280091,-14.030537492025363,-14.132073121957369,-14.078074338344056,-5.194666367213413,-5.285378572812204,-5.237597552300324,-13.842543231865774,-13.915423722065668,-13.879755204453634,-13.95233580539844,-13.883060353449244,-13.915423722065668,-13.982549270489464,-14.096096473309837,-14.02502800570193,0.2,0.34800000000000003,0.6220000000000001,0.5870000000000001,0.000123792,0.00157588,0.00143492,0.00205548,4.4,0.7458000000000001,6.80184e-06,-0.391,-0.2567,-0.5265,-0.7845,-0.5646,-0.7252,-0.8389,-0.5041,-0.6227,3.187,3.569,2.865,9.191,15.92,3.12,6.315e-06,7.997e-06,5.032e-06,0.667,0.2333,0.2534,0.2152,1.05,,3.879e-08,0.0004201000000000001,0.0003855,0.0006023,2.2769999999999997,0.962,1.1159999999999999,0.8287,5.9210000000000006e-06,1.6130000000000002,,0.68
6,TUC_OBS_6,TUC,CXOGLB J002353.9-720350,TC0001,5734.6,29.48,5419.116,False,False,False,2002-10-11T21:35:09,3.94,1.84,3.49,0.0,0.0,-13.882397308309915,-14.795066477645856,-14.333669255698032,-13.784626847216579,-13.578725208789654,-14.14092177525303,,-14.873543886568196,,-13.813608784304506,-13.988852639224202,,-14.518270803039984,,-13.676954264518299,-5.128427064454121,-5.347947151751895,-5.688246138944246,-6.0508052257620175,-4.8687022034023775,-5.387110230712516,,-6.228192121000895,,-5.095988116402612,-5.235226283088959,,-5.872895201635193,,-4.964170174747172,-13.905521883570938,-14.320081754745605,-14.16327090048313,-5.245688366781945,-5.594848373098232,-5.443263421753394,,,,,,,,,,0.6666666666666666,0.49866666666666665,0.6923333333333334,0.5696666666666667,0.0005476933333333334,0.0022579333333333333,0.0017368666666666666,0.0031572333333333333,4.4,0.7458000000000001,6.80184e-06,-0.9994,-0.2105,-1.0,-0.9994,-0.6309,-0.7314,-1.0,-0.4316,-0.7914,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,TUC_OBS_7,TUC,CXOGLB J002400.9-720453,TC0002,3874.2,61.02,61636.41,False,False,False,2000-03-16T07:29:58,11.95,6.66,10.09,1.64,2.29,-12.505845405981557,-13.33639329187548,-12.997833938243492,-13.583193128177056,-12.37809703910877,-12.592099459857366,-13.762456261857125,-13.129479049987236,-14.211548792976544,-12.450996737974211,-12.546834607474143,-13.493494967595128,-13.058786812414679,-13.7856861025756,-12.412962882256544,-3.848017604542526,-3.8099485822407937,-4.36021478701318,-5.294050805089705,-3.5931193299508752,-3.9344202852715515,-4.223444089296738,-4.4917396944876655,-5.922632094715843,-3.665948559653108,-3.8890737577335797,-3.9637704559137052,-4.42101715729721,-5.496481687275925,-3.628009088535085,-12.743089918110643,-12.849277936752475,-12.792570308115717,-3.9203044196742285,-4.0702695159092155,-3.987653847755963,-12.575608445589722,-12.67202837637699,-12.620331965966347,-12.76624263703449,-12.588548657862063,-12.641494088509765,-12.628193541492584,-12.730954290342376,-12.667157733005649,8.0,0.97525,0.9905,0.99375,0.016744,0.022903,0.0007957750000000001,0.041670750000000006,8.0,1.0,7.98806e-05,-0.8457,-0.7514,-0.9238,-0.9532,-0.5459,-0.9213,-0.9775,-0.4828,-0.6065,5.178999999999999,5.962000000000001,4.548,33.14,46.19,22.1,0.00028879999999999997,0.00043260000000000005,0.00020059999999999997,1.571,0.2082,0.2233,0.1941,2.2569999999999997,,2.055e-07,0.01617,0.01132,0.02339,1.8769999999999998,0.5028,0.609,0.4082,4.172,11.72,,1.416
8,TUC_OBS_8,TUC,CXOGLB J002400.9-720453,TC0002,31673.8,61.02,61636.41,False,False,False,2000-03-16T09:06:03,37.25,21.93,28.37,10.27,8.99,-12.678401569534657,-13.003619686766589,-13.004277078004534,-13.162980051459092,-12.43226803745193,-12.708853238268114,-13.100726812682396,-13.043927663004817,-13.247874692702101,-12.455559862682307,-12.693360558975739,-13.0494404383882,-13.023650020996726,-13.203356296214883,-12.443697499232712,-3.9800533183211577,-3.7659891824128207,-4.390512310146715,-4.877129077135565,-3.654234306885512,-4.010639186223752,-3.8632794328435933,-4.4301581005962385,-4.961777361631282,-3.6773672883077766,-3.995248844408999,-3.811915626285062,-4.409827168403686,-4.917573699139228,-3.6655462488490693,-12.771496983340743,-12.811358329612908,-12.790940965871203,-3.9572197913551337,-4.006264055434741,-3.981041663539721,-12.508358206522415,-12.530767257493387,-12.518700726667145,-12.518270803039984,-12.493630282904496,-12.504594436853807,-12.538201442474891,-12.561299467099264,-12.549135307620233,7.2,0.9372,0.999,0.9944,0.00763446,0.0229998,0.0017319999999999998,0.033826,8.0,1.0,7.98806e-05,-0.5247,-0.4878,-0.5628,-0.787,-0.4447,-0.7676,-0.8051,-0.4216,-0.4666,4.563,4.705,4.428999999999999,41.56,44.68,38.6,0.00045569999999999996,0.0005007,0.0004156000000000001,1.046,0.2828,0.2898,0.2812,0.2779,,2.463e-07,0.004989,0.0048530000000000005,0.005563,1.357,0.7754,0.8191,0.7321,10.17,12.13,8.299,0.784
9,TUC_OBS_9,TUC,CXOGLB J002400.9-720453,TC0002,845.1,61.02,61636.41,False,False,False,2000-03-16T18:15:34,6.31,4.26,4.31,1.56,0.0,-12.573326111978627,,-12.735182176990463,-13.011842527443248,-12.31140222491883,-12.778585762157661,,-12.944621668625,-13.674689628288938,-12.453704164878557,-12.66394072213365,,-12.82419836715172,-13.227458267359056,-12.374687549038326,-3.882397308309916,-4.151872489432125,-4.127202960010401,-4.687611050629408,-3.5192746210115122,-4.087512238667676,,-4.336676066371788,-5.350275814070478,-3.6579723119125283,-3.9730583720409705,,-4.2161678566155585,-4.903089986991944,-3.5831931281770557,-12.586444597239392,-12.787113557537126,-12.673699990331325,-3.921376456473193,-4.1523360499089845,-4.0547382710196995,,,,,,,,,,0.0,0.12933333333333333,0.18833333333333332,0.22633333333333336,0.000395,0.03542666666666667,0.034896666666666666,0.036046666666666664,8.0,1.0,7.98806e-05,-0.6496,-0.4516,-0.8164,-0.7933,-0.2886,-0.6577,-0.9001,-0.1343,-0.4304,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TUC_OBS_10,TUC,CXOGLB J002400.9-720453,TC0002,31673.8,61.02,61636.41,False,False,False,2000-03-16T18:59:23,39.95,22.94,31.19,9.99,8.62,-12.583026827396964,-13.10768273927752,-12.96697855531709,-13.189028600177792,-12.370284667352868,-12.611011214875285,-13.209081804785422,-13.005023326350308,-13.276626432981015,-12.392009141452824,-12.596879478824182,-13.155460697870993,-12.985479461242075,-13.229368872222194,-12.381011079635066,-3.8982529260536336,-3.799696817018415,-4.352030541637029,-4.899974269892137,-3.593971055036385,-3.925915310971756,-3.9010103605988227,-4.389978975335855,-4.987584625237567,-3.615646585862494,-3.9118639112994487,-3.84740592207253,-4.370590400897281,-4.940436582098732,-3.604673606930649,-12.726697721432343,-12.762491449178082,-12.744158459528812,-3.9231775766572268,-3.968567296732794,-3.945256753210067,-12.446845451830374,-12.469288162018342,-12.45717457304082,-12.460923901207224,-12.436993812938207,-12.448672011996154,-12.481881052856847,-12.504316932383086,-12.493224463393357,7.6,0.9448000000000001,0.9792,0.9823999999999999,0.008405800000000001,0.0263988,0.00097866,0.038939,8.0,1.0,7.98806e-05,-0.5759,-0.5415,-0.6115,-0.8295,-0.4847,-0.8139,-0.8451,-0.4641,-0.5041,4.657,4.803,4.521,38.82,41.78,35.99,0.0004903,0.0005375,0.00044830000000000005,1.2209999999999999,0.2636,0.2697,0.2623,0.2324,,1.975e-06,0.0077150000000000005,0.006951000000000001,0.008554,1.676,0.72,0.7593,0.6814,8.095,9.943,6.324,1.012
11,TUC_OBS_11,TUC,CXOGLB J002400.9-720453,TC0002,4691.1,61.02,61636.41,False,False,False,2000-03-17T04:09:04,16.73,9.28,13.84,3.06,3.82,-12.472885888360196,-13.070478899368895,-12.909389292171593,-13.351152291627107,-12.311847244408433,-12.535808629359,-13.305307073668516,-13.003794893821675,-13.64627606241105,-12.363813104801276,-12.503208684299958,-13.168770306132936,-12.95272513261582,-13.474048658751988,-12.337053385667375,-3.77780395369828,-3.613679426105954,-4.274496731140684,-5.030584087646019,-3.505845405981557,-3.840733668906506,-3.8486301497525397,-4.368860749743189,-5.325690111058523,-3.55783391421528,-3.8079904073463298,-3.7119744646116373,-4.317674381332193,-5.153539174870668,-3.5310621943345386,-12.666726074830214,-12.747088743495665,-12.70466605230718,-3.8042829556308506,-3.913430904049589,-3.85434249800998,-12.394802732611621,-12.453333974929816,-12.421819390372223,-12.539553216119279,-12.402304814074487,-12.442492798094342,-12.408378961786681,-12.46230680563261,-12.434270212168872,0.4,0.29,0.47400000000000003,0.6020000000000001,0.0009307600000000001,0.030260199999999998,0.029331399999999997,0.03313780000000001,8.0,1.0,7.98806e-05,-0.7445,-0.669,-0.8176,-0.9132,-0.5272,-0.8863,-0.94,-0.4803,-0.5715,5.667000000000001,6.194,5.227,52.28,61.9,43.88,0.0008698,0.0011619999999999998,0.0006684999999999999,0.885,0.2392,0.2496,0.226,3.668,,3.5510000000000004e-06,0.01406,0.01154,0.02011,0.996,0.4742,0.5436,0.4101,16.62,22.88,11.12,0.892
12,TUC_OBS_12,TUC,CXOGLB J002400.9-720453,TC0002,65237.5,61.02,61636.41,False,False,False,2002-09-29T17:14:19,52.19,29.69,41.02,12.95,14.86,-12.95311480916229,-13.411280220399943,-13.145329668104665,-13.390512310146715,-12.65777477063921,-12.97428461609866,-13.469928431162622,-13.174573882232178,-13.458171233218687,-12.674484336636851,-12.963770455913705,-13.439615077027984,-13.159705668388563,-13.422968014373968,-12.665948559653108,-4.165134420099962,-4.3584267468218245,-4.517555208081735,-5.033107704132863,-3.8041003475907664,-4.186352304653103,-4.417028070895194,-4.546681659952962,-5.100343619694364,-3.8207355356609747,-4.175613797681226,-4.3867926478962405,-4.531948208545763,-5.065451052333853,-3.8121973612815805,-13.015616725290057,-13.042574704653205,-13.02888193646377,-4.2092702109505,-4.235335280943092,-4.222050019357396,-12.700274846024364,-12.716472635138306,-12.708409174341998,-12.711080394338273,-12.694004117229195,-12.70245833218184,-12.717604495257474,-12.73423908328239,-12.72584215073632,9.6,1.0,1.0,1.0,0.014038799999999999,0.022359200000000003,0.0006955,0.04511,8.0,1.0,7.98806e-05,-0.5472,-0.5178,-0.5753,-0.772,-0.3885,-0.7564,-0.7876,-0.3716,-0.4054,4.382,4.478,4.29,43.62,45.66,41.63,0.0003009,0.0003213,0.0002824,1.7209999999999999,0.3072,0.312,0.3058,0.18,,1.688e-07,0.002309,0.002268,0.002457,1.5490000000000002,0.7884,0.8226,0.7549,15.38,16.72,14.08,1.225
13,TUC_OBS_13,TUC,CXOGLB J002400.9-720453,TC0002,59044.6,61.02,61636.41,False,False,False,2002-09-30T13:49:27,27.17,18.58,17.99,8.62,3.94,-13.619065536669298,-14.57856060977995,-13.48932096896779,-13.641874714723352,-13.11724784438692,-13.667359589612538,-14.80799040734633,-13.536107011014092,-13.744486287180466,-13.149415023647968,-13.642446280256918,-14.678194516142462,-13.512013668870607,-13.69015699528393,-13.133004186889352,-4.821598658466245,-5.407379178678018,-4.871923987331285,-5.34591976469343,-4.318487413361038,-4.869988050328096,-5.633017024022149,-4.9186526921958675,-5.447210149807218,-4.350470434052181,-4.8449677712090296,-5.505706231334667,-4.894830572000668,-5.393618634889395,-4.334231449280621,-13.499656474621933,-13.54954765246479,-13.523841049076434,-4.769740165612239,-4.817762297261182,-4.793114783434791,-13.16165473122401,-13.196065150136159,-13.178683029408903,-13.209081804785422,-13.169090700453557,-13.187822225841247,-13.178486471595226,-13.222645686915792,-13.195656081520134,8.8,0.9874,0.9998000000000001,0.9984,0.00691384,0.006563299999999999,0.00046172,0.034577199999999995,8.0,1.0,7.98806e-05,-0.5172,-0.4703,-0.5628,-0.5584,-0.0575,-0.5141,-0.6015,-0.0194,-0.0943,4.149,4.332,3.9789999999999996,64.95,70.23,60.04,0.00014280000000000003,0.0001649,0.00012429999999999999,1.087,0.3685,0.384,0.3529,14.75,8.216000000000001,11.36,0.00044980000000000004,0.0003636,0.0005637000000000001,0.914,0.854,0.923,0.7894,37.0,40.63,33.59,0.899
14,TUC_OBS_14,TUC,CXOGLB J002400.9-720453,TC0002,65240.7,61.02,61636.41,False,False,False,2002-10-02T19:14:18,38.81,22.87,29.64,10.51,11.26,-13.230992129056226,-13.732593581247096,-13.356942316248547,-13.577574323628795,-12.899974269892137,-13.260348556290623,-13.810229043653127,-13.39491053811842,-13.6613443344213,-12.922268820347607,-13.24542234395527,-13.769551078621726,-13.375511637486552,-13.617442678091214,-12.91080163319485,-4.442613117940493,-4.589560213789653,-4.740167300936516,-5.205651396103917,-4.058190526991162,-4.471983658810799,-4.666754301038037,-4.778064400171995,-5.28844583174983,-4.080555789534763,-4.457050151185821,-4.626352527790782,-4.758702612890007,-5.245116771747832,-4.0692037370167,-13.261901533907858,-13.297431614170076,-13.279212458245032,-4.459175186429878,-4.494424079163614,-4.476417399742214,-12.965772739229449,-12.988006885340743,-12.977159389123472,-12.96657624451305,-12.943476275920899,-12.954285941059132,-12.960585880823864,-12.983384452442822,-12.97183558057553,9.6,1.0,1.0,1.0,0.014967000000000003,0.0123662,0.000616856,0.0450174,8.0,1.0,7.98806e-05,-0.5072,-0.4703,-0.5453,-0.7196,-0.3348,-0.6952,-0.7427,-0.3104,-0.3579,4.359,4.4719999999999995,4.253,44.09,46.73,41.55,0.00016319999999999998,0.00017719999999999997,0.0001504,1.932,0.3359,0.3431,0.3271,0.1895,,1.915e-07,0.0008981,0.0008767999999999998,0.0009824999999999999,1.33,0.869,0.9097,0.8289,14.93,16.59,13.31,1.1420000000000001
15,TUC_OBS_15,TUC,CXOGLB J002400.9-720453,TC0002,68771.4,61.02,61636.41,False,False,False,2002-10-11T01:59:30,51.48,27.35,42.14,13.54,16.32,-12.947690900352676,-13.372736583431779,-13.231806038366928,-13.34920696034807,-12.67284548759057,-12.96818772866963,-13.426084559578449,-13.263603497723357,-13.413975617613024,-12.689731633367552,-12.957818405484234,-13.398591939465316,-13.24741382125959,-13.380384994257193,-12.681310730052255,-4.16488040957545,-4.299815670377802,-4.610656688747922,-5.017321806616516,-3.8312079796858183,-4.1855526214775125,-4.353106375832255,-4.642446280256919,-5.081550257598842,-3.848017604542526,-4.175093528697888,-4.325598187154718,-4.626352527790782,-5.048274024575408,-3.8392314381388717,-13.025967538977945,-13.053115620682277,-13.039377032010982,-4.22160416594282,-4.247877766820091,-4.234394023911393,-12.70730099695607,-12.723768042078166,-12.714892970433189,-12.724228099835068,-12.705313375720557,-12.714442690992227,-12.767257937279263,-12.783834097714006,-12.775466937393915,9.8,1.0,1.0,1.0,0.0197736,0.021211799999999996,0.00038068000000000005,0.05105900000000001,8.0,1.0,7.98806e-05,-0.451,-0.4191,-0.4828,-0.7633,-0.4772,-0.7477,-0.7789,-0.4616,-0.4941,3.847,3.9410000000000003,3.7569999999999997,28.47,30.34,26.65,0.0001794,0.0001911,0.00016869999999999998,1.318,0.2788,0.2839,0.2776,0.1045,,1.8989999999999997e-07,0.003139,0.003083,0.003204,2.275,0.9651,1.013,0.9182,5.801,7.016,4.625,1.026
16,TUC_OBS_16,TUC,CXOGLB J002400.9-720453,TC0002,5307.0,61.02,61636.41,False,False,False,2002-09-30T11:50:19,7.26,5.97,3.29,2.72,0.0,-13.964970717797632,,-13.401100112936117,-13.458295976715712,-13.132002489655049,-14.23717144681091,,-13.548060130634896,-13.792904459580782,-13.253988892248074,-14.08008551934057,,-13.468393368067277,-13.594141600682363,-13.18876022724671,-5.1542200328881105,-5.689731633367552,-4.773142429711276,-5.1984590938096815,-4.38132446111486,-5.426432226960782,,-4.92009553233328,-5.533132379645891,-4.501689446210399,-5.269298455718155,,-4.84043280676638,-5.334325219006106,-4.437350327788083,-13.40025334837094,-13.577032819472237,-13.479726132090704,-4.830878335453741,-4.998300893707763,-4.913782584306657,,,,,,,,,,3.5,0.7335,0.60475,0.5972500000000001,0.0029630999999999998,0.00609625,0.0029700000000000004,0.016256,8.0,1.0,7.98806e-05,-0.5072,-0.3604,-0.6465,-0.0662,0.4522,0.158,-0.2917,0.5828,0.3154,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TUC_OBS_17,TUC,CXOGLB J002400.9-720453,TC0002,1928.3,61.02,61636.41,False,False,False,2002-10-01T08:25:29,13.38,6.82,11.67,2.76,4.63,-12.504039605118296,-12.864867348623225,-12.845271792559844,-13.154158092578243,-12.306097258933939,-12.578889870206567,-13.049829940191799,-12.973466735476704,-13.495257363728312,-12.37202001017002,-12.538651566352017,-12.947690900352676,-12.904481957676849,-13.287687091318634,-12.337809009140992,-3.7189666327522723,-3.7812020018882624,-4.221125527997261,-4.7657358756212105,-3.4210171572972095,-3.7937139555875676,-3.9730583720409705,-4.349401101827343,-5.0995236286107435,-3.4861168143889074,-3.753501419204199,-3.8639139026159026,-4.280585840297406,-4.8972233851165585,-3.4523483416400307,-12.635666675427284,-12.737202562103985,-12.682914928581178,-3.788852750185508,-3.8884807503342147,-3.834945700724617,-12.33517005885691,-12.422393322637465,-12.376543951930067,-12.560036064079094,-12.366127737341667,-12.419189027339053,-12.38795825535473,-12.460547508450539,-12.422048872270246,0.2,0.2264,0.6222,0.7668,0.0010334399999999998,0.05002260000000001,0.048882,0.051329,8.0,1.0,7.98806e-05,-0.6096,-0.4891,-0.7277,-0.8657,-0.5409,-0.8189,-0.9101,-0.4816,-0.599,4.579,5.233,4.0489999999999995,36.37,46.93,27.35,0.0005643,0.0007882999999999999,0.0004158,0.8190000000000001,0.2586,0.2741,0.2414,3.082,,5.5710000000000005e-06,0.0103,0.008887,0.01489,1.504,0.6286,0.7795,0.5083,12.09,18.34,6.416,1.113
