obs_id,class,src_n,src_id,significance,photflux_aper_hilim_s,photflux_aper_hilim_m,photflux_aper_hilim_b,photflux_aper_b,photflux_aper_lolim_h,photflux_aper_s,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_m,photflux_aper_h,photflux_aper_hilim_h,photflux_aper_lolim_s,flux_aper,photflux_aper_hilim,flux_aper_hilim_s,photflux_aper_lolim,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_b,flux_aper_lolim_b,flux_aper_lolim_s,flux_aper_lolim_m,flux_aper_hilim_m,flux_aper_lolim,flux_aper_h,flux_aper_lolim_h,flux_aper_m,flux_aper_hilim,flux_aper_s,photflux_aper,var_sigma,kp_prob,var_inter_sigma,ks_prob,var_index,var_prob,var_inter_index,var_mean,var_inter_prob,var_max,var_min,hard_hs,hard_hm_lolim,hard_hm,hard_hm_hilim,hard_ms,hard_ms_hilim,hard_hs_lolim,hard_hs_hilim,hard_ms_lolim
NS_OBS_41,NS,1A 1742-289         ,NS0001,167.36,-6.253054590384894,-6.5705707356182135,-5.8996294548824375,-6.190574971202966,-7.6742791419805885,,,-7.532984181561566,,-6.3125602254541056,-6.030863766403288,,-15.17441162014103,-6.12225442361857,-15.137391636035057,-7.898940645091884,-14.592779107072607,-14.590574131328554,-14.874518734299405,-15.935167780261429,,,-15.122168108507106,-16.23507701535011,-14.872247484167024,-15.93292914395463,,-14.782213471126573,,-6.548328675440356,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.3666,0.9994,1.0,-0.9994,0.0119,0.0169,1.0,-1.0
NS_OBS_23,NS,1A 1742-289         ,NS0001,167.36,,-6.257117828562727,-5.57218942732401,-5.852014679316195,-7.310779962736166,,,-7.174314291978241,,-5.988429556402723,-5.698102282804793,,-13.88096417380349,-5.758187977064452,,-7.413300198375951,-13.447940465812115,-13.438779321066056,-13.709520186669328,-14.469160221383481,,,-14.848323769152953,-14.640607255828993,-13.700274846024366,-14.459920911195828,,-13.61096392800022,,-6.090979145788844,,,0.002257511,,,,5.2,,0.7596,,,,0.3779,0.9994,1.0,,,,,
NS_OBS_8,NS,1A 1742-289         ,NS0001,167.36,-7.04895405186418,-7.55579901113584,-6.253287977483339,-6.3741732867142895,-6.78015361397564,-7.304255724802678,,-6.554395796726402,,-6.581201709409647,-6.4519793050944685,-8.003181978120484,-15.030685683430812,-6.441999834938519,-15.882397308309915,-7.041123766431669,-14.512578788640525,-14.501551596826,-14.639785386704647,-14.833569886156713,-16.824488186636554,,-16.15658033479508,-15.234483437656833,-14.639785386704647,-14.844056982028166,,-14.862618666942005,-16.12546020292899,-6.833019595717517,,,0.002257511,,,,5.2,,0.7596,,,0.6833,0.8051,0.9994,1.0,-0.9994,-0.3329,0.4379,0.8738,-1.0
NS_OBS_9,NS,1A 1742-289         ,NS0001,167.36,,-6.677160727313678,-5.776504059037605,-6.024200690320593,-6.792904459580782,,,-6.740167300936516,,-6.156144577376839,-5.9083330424043154,,-15.07727454200674,-5.434202340515026,,-7.066765871285193,-14.511449283499555,-14.488919154460882,-14.79236563261104,-15.833569886156713,,,-15.204537105609619,-16.030351159519274,-14.760700520873108,-15.645315446045272,,-14.44290202164774,,-6.3862110152165075,,,0.002257511,,,,5.2,,0.7596,,,,0.564,0.9994,1.0,,,,,
NS_OBS_38,NS,1A 1742-289         ,NS0001,167.36,-6.766496239658864,-7.038531444649212,-6.106293706935286,-6.388064374959877,-7.4087127349415,,,-7.448672011996154,,-6.505567101273601,-6.2326214758858205,,-14.741266962787186,-5.625584924179536,-15.574465779501734,-7.826172964346419,-14.094851998143985,-14.085339569410774,-14.348140730753052,-15.029374223311706,,,-15.568958054664115,-15.422508200162776,-14.33856594960608,-15.019814763052663,,-14.346532774836644,,-6.840793866353675,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.594,0.9994,1.0,-0.9994,0.0643,0.3354,1.0,-1.0
NS_OBS_11,NS,1A 1742-289         ,NS0001,167.36,-7.349401101827342,-7.555486793665957,-6.6221475809932455,-6.9136401693252525,-8.06620911585658,,,-8.275314611762639,,-7.005506877116488,-6.723768042078167,,-15.240030142445693,-6.437193425196613,-16.152427340857887,-8.5562364930225,-14.610479534153624,-14.60049933868539,-14.847100403606253,-15.464452720823331,,,-16.091193400594324,-15.857297754262385,-14.837137006678073,-15.454321850207975,,-14.929536548586848,,-7.355088966121246,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.6102,0.9994,1.0,-0.9994,0.1355,0.4279,1.0,-1.0
NS_OBS_36,NS,1A 1742-289         ,NS0001,167.36,-6.757955760630449,-7.040958607678906,-6.246110668540165,-6.534914712442568,,,,,,-6.643209539648284,-6.342275045794892,,-14.59468779724158,-5.630127629457181,-15.58236226034777,,-13.970616222314789,-13.96018944585165,-14.20210951694165,-14.788345599446814,,,-15.571379327328062,-15.18098280131094,-14.191451448759596,-14.77780395369828,,-14.251240011707628,,-6.983635320543707,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.4928,0.9994,1.0,-0.9994,0.0743,0.2192,1.0,-1.0
NS_OBS_42,NS,1A 1742-289         ,NS0001,167.36,-7.362110183419208,-7.626904012921273,-6.338376590770769,-6.5107448316307375,-6.912218582190458,,,-6.823041019413092,,-6.621602099051862,-6.456304367690755,,-14.804307862677252,-6.659779038962121,-16.167235695059468,-7.1663748533863325,-14.355364496231847,-14.345342245350475,-14.508358206522415,-14.746661994673893,,,-16.164753460003688,-15.042632191568472,-14.498256270372007,-14.736600668665998,,-14.64476548975122,,-6.863675867815807,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.8139,0.9994,1.0,-0.9994,0.0856,0.6827,1.0,-1.0
NS_OBS_7,NS,1A 1742-289         ,NS0001,167.36,-7.6206944822494185,-7.8425432318657755,-7.018317272628715,,,,,,,,-7.189431470783588,,-15.633250277415106,-7.303556236861,-16.4036228560024,,-15.037725395376684,-15.013452186585276,-15.338755391040664,,,,-16.361111575294927,,-15.325782054423302,,,-15.307743699800074,,,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.3554,0.9994,1.0,-0.9994,0.1305,0.0943,1.0,-1.0
NS_OBS_45,NS,1A 1742-289         ,NS0001,167.36,-6.485053994691997,-6.839831707041488,-6.178486471595228,-6.467245621007503,-7.944239535312265,,,,,-6.601886308269497,-6.310779962736166,,-15.362010219215314,-6.391527454258566,-15.35085993585578,-8.546299526640228,-14.567993312730401,-14.447088549783489,,,,,-15.370284667352868,,-14.759950227887352,,,-14.74786937178865,,-6.830399031979075,,,0.002257511,,,,5.2,,0.7596,,,0.9994,0.3304,0.9994,1.0,-0.9994,-0.0144,-0.0506,1.0,-1.0
