index_compiled,class,B_B_FLUX_AP,B_M_FLUX_AP,B_B_FLUX_AP90,B_B_FLUX_AP90_AVG,B_B_FLUX_AP_AVG,B_B_FLUX_BB_AP,B_B_FLUX_BB_AP90,B_B_FLUX_BREMS_AP,B_B_FLUX_BREMS_AP90,B_B_FLUX_PLAW_AP,B_B_FLUX_PLAW_AP90,B_B_KP_INTRA_PROB,B_B_KS_INTRA_PROB,B_B_PHOTFLUX_AP,B_B_PHOTFLUX_AP90,B_B_PHOTFLUX_AP90_AVG,B_B_PHOTFLUX_AP_AVG,B_B_VAR_INTER_INDEX,B_B_VAR_INTER_PROB,B_B_VAR_INTER_SIGMA,B_B_VAR_INTRA_INDEX,B_B_VAR_INTRA_PROB,B_BB_AMPL,B_BB_AMPL_RHAT,B_BB_KT,B_BB_KT_RHAT,B_BB_NH,B_BB_NH_RHAT,B_BB_STAT,B_BREMS_KT,B_BREMS_KT_RHAT,B_BREMS_NH,B_BREMS_NH_RHAT,B_BREMS_NORM,B_BREMS_NORM_RHAT,B_BREMS_STAT,B_FLUX_BB,B_FLUX_BREMS,B_FLUX_PLAW,B_H_FLUX_AP,B_H_FLUX_AP90,B_H_FLUX_AP90_AVG,B_H_FLUX_AP_AVG,B_H_FLUX_APEC_AP,B_H_FLUX_BB_AP,B_H_FLUX_BB_AP90,B_H_FLUX_BREMS_AP,B_H_FLUX_BREMS_AP90,B_H_FLUX_PLAW_AP,B_H_FLUX_PLAW_AP90,B_H_KP_INTRA_PROB,B_H_KS_INTRA_PROB,B_H_PHOTFLUX_AP,B_H_PHOTFLUX_AP90,B_H_PHOTFLUX_AP90_AVG,B_H_PHOTFLUX_AP_AVG,B_H_POSITION_ANGLE,B_H_VAR_INTER_INDEX,B_H_VAR_INTER_PROB,B_H_VAR_INTER_SIGMA,B_H_VAR_INTRA_INDEX,B_H_VAR_INTRA_PROB,B_HARDNESS_RATIO_HM,B_HARDNESS_RATIO_HS,B_HARDNESS_RATIO_MS,B_M_FLUX_AP90,B_M_FLUX_AP90_AVG,B_M_FLUX_AP_AVG,B_M_FLUX_BB_AP,B_M_FLUX_BB_AP90,B_M_FLUX_BREMS_AP,B_M_FLUX_BREMS_AP90,B_M_FLUX_PLAW_AP,B_M_FLUX_PLAW_AP90,B_M_KP_INTRA_PROB,B_M_KS_INTRA_PROB,B_M_PHOTFLUX_AP,B_M_PHOTFLUX_AP90,B_M_PHOTFLUX_AP90_AVG,B_M_PHOTFLUX_AP_AVG,B_M_POSITION_ANGLE,B_M_VAR_INTER_INDEX,B_M_VAR_INTER_PROB,B_M_VAR_INTER_SIGMA,B_M_VAR_INTRA_INDEX,B_M_VAR_INTRA_PROB,B_PHOT_NSRCS,B_POWLAW_AMPL,B_POWLAW_AMPL_RHAT,B_POWLAW_GAMMA,B_POWLAW_GAMMA_RHAT,B_POWLAW_NH,B_POWLAW_NH_RHAT,B_POWLAW_STAT,B_S_FLUX_AP,B_S_FLUX_AP90,B_S_FLUX_AP90_AVG,B_S_FLUX_AP_AVG,B_S_FLUX_BB_AP,B_S_FLUX_BB_AP90,B_S_FLUX_BREMS_AP,B_S_FLUX_BREMS_AP90,B_S_FLUX_PLAW_AP,B_S_FLUX_PLAW_AP90,B_S_KP_INTRA_PROB,B_S_KS_INTRA_PROB,B_S_PHOTFLUX_AP,B_S_PHOTFLUX_AP90,B_S_PHOTFLUX_AP90_AVG,B_S_PHOTFLUX_AP_AVG,B_S_VAR_INTER_INDEX,B_S_VAR_INTER_PROB,B_S_VAR_INTER_SIGMA,B_S_VAR_INTRA_INDEX,B_S_VAR_INTRA_PROB,B_U_FLUX_AP,B_U_FLUX_AP90,B_U_FLUX_AP90_AVG,B_U_FLUX_AP_AVG,B_U_FLUX_BB_AP,B_U_FLUX_BB_AP90,B_U_FLUX_BREMS_AP,B_U_FLUX_BREMS_AP90,B_U_FLUX_PLAW_AP,B_U_FLUX_PLAW_AP90,B_U_KP_INTRA_PROB,B_U_KS_INTRA_PROB,B_U_PHOTFLUX_AP,B_U_PHOTFLUX_AP90,B_U_PHOTFLUX_AP90_AVG,B_U_PHOTFLUX_AP_AVG,B_U_VAR_INTER_INDEX,B_U_VAR_INTER_PROB,B_U_VAR_INTER_SIGMA,B_U_VAR_INTRA_INDEX,B_U_VAR_INTRA_PROB,B_VAR_INTER_HARD_PROB_HM,B_VAR_INTER_HARD_PROB_HS,B_VAR_INTER_HARD_PROB_MS,B_VAR_INTER_HARD_SIGMA_HM,B_VAR_INTER_HARD_SIGMA_HS,B_VAR_INTER_HARD_SIGMA_MS
0,0.0,1.23e-14,0.001064102564102564,0.007052023121387282,0.00015376623376623375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011267605633802818,0.004361904761904762,0.0012924528301886792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005156794425087108,0.009230769230769232,0.0035090909090909088,0.0010735455543358946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036996336996336994,0.007713178294573644,0.00305045871559633,0.00108130081300813,0,0.0,0.0,0.0,0.0,0.0,0.5505505505505506,0.888888888888889,0.8171500630517023,0.007867298578199051,0.0016640986132511557,0.0006538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009284603421461896,0.006604189636163176,0.0015040322580645161,0.0005396578538102644,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004306569343065693,0.0023030303030303033,0.0028284023668639054,0.00031873479318734793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004498141263940521,0.0,0.002293333333333333,0.00033903345724907067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.014146868250539955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164319248826291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012623490669593852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01951219512195122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031794871794871796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028926905132192846,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058394160583941604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053531598513011154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21893203883495146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024339622641509435,0.00011737089201877934,0.0,0.0,0.0,0.1,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.348623853211009e-05,1.1788617886178862e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002528225806451613,9.564541213063764e-05,0,0.0,0.0,0.0,0.3333333333333333,0.7147239263803681,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0004200743494423792,0.0,0.0,0.0,0.5,0.6127906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02271551724137931,0.025776699029126212,0.0,0.0,0.0,0.0,0.5391923990498813,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,0.0,0.014146868250539955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164319248826291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012623490669593852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01951219512195122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031794871794871796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028926905132192846,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058394160583941604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053531598513011154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21893203883495146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,6.39e-15,0.0026987179487179486,0.0037803468208092482,0.00016987012987012984,0.0006900647948164146,0.0012621870882740449,0.005697674418604652,0.0011757142857142858,0.004757062146892655,0.0011397849462365592,0.004544502617801047,0.902,0.968,0.0016338028169014085,0.0067809523809523806,0.0033584905660377358,0.0016338028169014085,0.0,0.0,0.0,0.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006585365853658536,0.0012307692307692308,0.0006981818181818182,0.00020746432491767288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006575091575091575,0.001418604651162791,0.0008394495412844036,0.00029186991869918703,0,0.0,0.0,0.0,0.0,0.0,-0.5725725725725725,-0.08878878878878879,0.6582597730138714,0.020426540284360188,0.006640986132511557,0.0026987179487179486,0.0022727272727272726,0.017142857142857144,0.00223125,0.016666666666666666,0.002220125786163522,0.016559633027522936,0.289,0.424,0.002146189735614308,0.015545755237045206,0.005685483870967742,0.002146189735614308,0,0.0,0.0,0.0,0.0,0.5051124744376279,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00151338199513382,0.0181267217630854,0.019467455621301775,0.00151338199513382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014944237918215616,0.0195852534562212,0.014166666666666666,0.0014944237918215616,0.0,0.0,0.0,0.0,0.0,0.03787878787878787,0.013984374999999999,0.09728260869565217,0.07772020725388601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05259809119830328,0.07418136020151134,0.2538793103448276,0.2407766990291262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,7.67e-15,0.0014423076923076922,0.0023468208092485548,0.00017714285714285713,0.0010561555075593951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006244131455399061,0.0017676190476190478,0.0018867924528301887,0.0013286384976525822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006968641114982578,0.007051282051282051,0.0029563636363636363,0.0014709110867178925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004542124542124542,0.006162790697674419,0.0030275229357798164,0.0015691056910569108,0,0.0,0.0,0.0,0.0,0.0,0.45845845845845845,0.7917917917917918,0.6506935687263556,0.004255924170616114,0.0021417565485362094,0.0016282051282051281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001468118195956454,0.004487320837927232,0.002314516129032258,0.001547433903576983,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010121654501216546,0.004132231404958678,0.007218934911242605,0.0014282238442822383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010855018587360597,0.004700460829493088,0.0053,0.0014237918215613383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,4.57e-15,0.0005641025641025641,0.0026184971098265892,0.00011766233766233765,0.0004935205183585312,0.0006126482213438736,0.0026860465116279072,0.0005557142857142857,0.002186440677966102,0.0005336021505376344,0.0020680628272251307,0.847,0.669,0.0007511737089201878,0.0030285714285714286,0.0015,0.0007511737089201878,0.0,0.27,0.00044673123486682804,0.0,0.319,0.0002553418803418803,0.0,0.23127413127413127,0.0,2.5109489051094887e-10,0.0,0.04005376344086021,0.6036764705882354,0.0,0.00348302300109529,0.0,0.0001563091482649842,0.0,0.02104838709677419,0.0007279236276849642,0.0008846153846153846,0.0008957871396895788,0.0010418118466898954,0.0018846153846153845,0.001069090909090909,0.0003282107574094402,0.0008402948402948402,0.0008566775244299675,0.001883211678832117,0.0008473053892215569,0.001859060402684564,0.0008448753462603877,0.0018624999999999998,0.974,0.943,0.0008644688644688644,0.0017906976744186047,0.0010596330275229357,0.00038373983739837397,0,0.0,0.166,0.000354368932038835,0.0,0.457,0.13913913913913914,0.03753753753753754,-0.1273644388398487,0.004090047393364929,0.001329738058551618,0.0005641025641025641,0.0005448484848484848,0.003915178571428571,0.000545625,0.0038858447488584478,0.0005459119496855346,0.0038807339449541283,0.985,0.829,0.0005567651632970451,0.003847850055126792,0.001407258064516129,0.0005567651632970451,0.0,0.0,0.105,0.0006529411764705882,0.0,0.4918200408997955,0.25,9.607843137254902e-05,0.0,0.2730263157894737,0.0,0.006739495798319328,0.0,0.021317204301075268,0.0018880778588807785,0.021735537190082643,0.02334319526627219,0.0018880778588807785,0.0018579234972677596,0.02011764705882353,0.0019566326530612247,0.02097826086956522,0.0020126582278481016,0.02127659574468085,0.9829659318637275,0.998997995991984,0.0016319702602230484,0.020322580645161292,0.0147,0.0016319702602230484,0.0,0.203,0.0019054878048780487,0.0,0.5813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004146341463414634,0.004811083123425692,0.016465517241379308,0.018980582524271844,0.625,0.77,0.0783673469387755,0.0,0.0,0.0452,1.0,0.124,0.06666666666666667,0.167,0.1035
7,1.0,2.61e-16,0.0,0.00027514450867052026,1.1584415584415584e-05,2.645788336933045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5305164319248826e-05,0.00012171428571428572,5.443396226415095e-05,2.483568075117371e-05,0.375,0.549,7.070217917675545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001097560975609756,0.00024102564102564103,0.00012836363636363636,2.8210757409440175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.706959706959705e-05,0.0001996124031007752,9.334862385321101e-05,3.121951219512195e-05,0,0.375,0.55,5.582524271844661e-05,0.0,0.0,1.0,1.0,-0.4312736443883985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1854838709677417e-05,7.96267496111975e-06,0,0.0,0.332,8.88235294117647e-05,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010533333333333332,0.0,0.375,0.559,0.0006814024390243903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,0.0,0.16140350877192985,0.0,0.101
8,1.0,0.0,0.0,0.0,4.987012987012986e-06,6.079913606911447e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.660377358490566e-05,7.652582159624414e-06,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17741935483871e-05,2.2083981337480558e-05,0,0.0,0.0,0.0,0.16666666666666666,0.5449897750511248,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333333,4.9814126394052045e-05,0.0,0.0,0.0,0.0,0.5244186046511629,0.0,0.0,0.0,0.0018082901554404144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007621359223300971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,3.68e-14,0.00341025641025641,0.02092485549132948,0.0008805194805194804,0.0036285097192224618,0.003702239789196311,0.015813953488372095,0.003442857142857143,0.013163841807909605,0.003346774193548387,0.01256544502617801,0.702,0.613,0.00415962441314554,0.016304761904761905,0.0076603773584905666,0.0038967136150234744,0.375,0.576,0.001476997578692494,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829,0.604,0.0,0.0,0.0,0.0,0.0,0.625,0.852,0.003179611650485437,0.0,0.157,0.0,0.0,0.0,0.023886255924170614,0.0075346687211094,0.0033333333333333335,0.003278787878787879,0.02294642857142857,0.00328125,0.0228310502283105,0.0032830188679245278,0.02279816513761468,0.355,0.594,0.0032348367029548988,0.021830209481808163,0.00778225806451613,0.0031726283048211508,0.0,0.0,0.0091,0.0005723529411764706,0.0,0.4805725971370143,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028710462287104624,0.0303030303030303,0.029112426035502962,0.0025790754257907543,0.003333333333333333,0.03264705882352941,0.0033418367346938777,0.03260869565217391,0.0033924050632911395,0.032446808510638296,0.7865731462925852,0.7875751503006012,0.002895910780669145,0.03382488479262673,0.022233333333333334,0.0026245353159851303,0.0,0.178,0.0026981707317073173,0.5,0.6151162790697675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0447,0.269,0.0847953216374269,0.01365,0.0765
10,1.0,1.1e-16,0.0,5.023121387283237e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685446009389671e-05,0.00020761904761904763,0.0,0.0,0.75,0.965,0.00018280871670702176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.2597730138713745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.846747519294377e-05,0.0,0.0,0,0.0,0.377,0.00012588235294117646,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003503649635036496,0.004049586776859504,0.0,0.0,0.00031967213114754097,0.0035588235294117644,0.000336734693877551,0.003722826086956522,0.0003468354430379747,0.003776595744680851,0.5450901803607214,0.2595190380761523,0.0003189591078066915,0.004055299539170507,0.0,0.0,0.75,0.978,0.0016768292682926831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002110286320254507,0.0038413098236775817,0.0246551724137931,0.026116504854368932,0.0,0.142,0.01142857142857143,0.0,0.0,0.0,0.0,0.349,0.0,0.0,0.0
11,1.0,3.53e-14,0.0001923076923076923,0.01815028901734104,0.0008207792207792207,0.0038228941684665223,0.003069828722002635,0.012151162790697676,0.0032,0.011355932203389832,0.003225806451612903,0.0112565445026178,0.967,0.986,0.0030375586854460095,0.01102857142857143,0.00549056603773585,0.0030469483568075118,0.625,0.825,0.007033898305084746,0.0,0.0,0.004497863247863248,0.0,0.2702702702702703,0.0,1.0,0.0,0.029301075268817204,0.10220588235294117,0.0,1.0,0.0,0.03627760252365931,0.0,0.02903225806451613,0.006324582338902148,0.0060859728506787334,0.006053215077605322,0.012508710801393727,0.0216025641025641,0.01229090909090909,0.003951701427003293,0.009606879606879606,0.009771986970684038,0.020583941605839415,0.00970059880239521,0.020469798657718124,0.0096398891966759,0.0204375,0.962,0.976,0.00912087912087912,0.018139534883720932,0.010756880733944953,0.004056910569105691,0.0,0.5,0.739,0.004951456310679611,0.0,0.0,0.9619619619619619,0.988988988988989,0.6834804539722573,0.0014265402843601895,0.0004576271186440678,0.00018974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015552099533437013,0.0010992282249173099,0.0003987903225806452,0.00015443234836702953,0.0,0.0,3.41e-05,0.0030235294117647053,0.0,0.0,0.25,0.30334486735870814,0.0,0.8042763157894737,0.0,1.0,0.0,0.028763440860215053,9.124087591240875e-05,0.00090633608815427,0.000970414201183432,9.099756690997567e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010817843866171004,0.0011152073732718895,0.0008033333333333333,0.00010780669144981414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029374337221633085,0.0023047858942065493,0.007887931034482758,0.013252427184466021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,2.35e-14,0.0002032051282051282,0.008439306358381502,0.03558441558441558,0.15766738660907126,0.0020685111989459815,0.0055697674418604655,0.002157142857142857,0.0052090395480226,0.0021639784946236554,0.005136125654450261,0.572,0.886,0.0021220657276995306,0.005257142857142857,0.21509433962264152,0.11267605633802817,0.5,0.7,0.0032929782082324454,0.0,0.0,0.0006655982905982905,0.0,0.36254826254826256,0.0,0.6948905109489052,0.0,0.024408602150537632,0.1948529411764706,0.0,0.7590361445783133,0.0,0.006798107255520504,0.0,0.024059139784946237,0.004988066825775657,0.0048642533936651584,0.004611973392461197,0.008222996515679442,0.011153846153846153,0.5309090909090909,0.16465422612513722,0.006216216216216216,0.006384364820846905,0.01051094890510949,0.006317365269461078,0.010335570469798657,0.006260387811634348,0.010312499999999999,0.647,0.925,0.005787545787545787,0.008953488372093024,0.4220183486238532,0.15203252032520326,0.0,0.5,0.67,0.004805825242718447,0.0,0.0,0.9399399399399399,0.97997997997998,0.6002522068095838,0.0006682464454976303,0.004252696456086287,0.00216025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015536547433903577,0.0005490628445424477,0.004072580645161291,0.0018195956454121307,0.0,0.0,2.96e-05,0.0013235294117647058,0.0,0.0,0.25,0.018685121107266434,0.0,0.537828947368421,0.0,0.7100840336134454,0.0,0.02397849462365591,9.099756690997567e-05,0.0,0.024911242603550297,0.0024574209245742094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012118959107806693,0.0,0.016366666666666668,0.0020483271375464685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16249999999999998,0.1703883495145631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172
13,1.0,9.42e-16,0.00016602564102564103,0.0006358381502890172,1.7506493506493505e-05,5.5399568034557226e-05,0.00019367588932806326,0.0008488372093023257,0.00016714285714285716,0.0006553672316384181,0.00015725806451612903,0.0006073298429319371,0.04,0.174,0.0002460093896713615,0.0009885714285714287,0.0004339622641509434,0.00021643192488262912,0.5,0.67,0.0003171912832929782,0.0,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001254355400696864,0.0003269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016978021978021978,0.0003875968992248062,0.00013899082568807338,3.788617886178862e-05,0,0.375,0.617,0.00021019417475728154,0.0,0.0,0.03873873873873874,-0.37037037037037035,-0.4918032786885246,0.0010663507109004739,0.0002942989214175655,0.00014166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001432348367029549,0.0008555678059536934,0.00028346774193548384,0.00012674961119751166,0,0.625,0.72,0.0003523529411764706,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007737226277372263,0.008925619834710744,0.009201183431952665,0.0007980535279805352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007732342007434946,0.009262672811059908,0.006433333333333333,0.0007657992565055763,0.0,0.257,0.0008429878048780488,0.0,0.0,0.0,0.0,0.005233695652173913,0.0059067357512953365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025450689289501587,0.0017128463476070528,0.010775862068965516,0.024077669902912623,0.75,0.936,0.04163265306122449,0.0,0.0,6.35e-12,0.0728,0.47,0.13216374269005848,0.058,0.2085
